matricule_camion;date_trans;kilometrage;type_camion;objectif_camion;capacite;heure_depart;jour_semaine;latitude;longitude;quantite_station;quantite_gps;conditions_meteo;weathercode_raw;type_trajet;city;zone;gouvernorat;delegation
8580 TU 232;2026-01-13T13:25:52.000Z;439;NPR;16;436.8998628;14;2;36.092087;9.371635;87.66;79.78;ensoleillé;0;route_secondaire;سليانة;ville;ولاية سليانة;معتمدية سليانة الشمالية
1229 TU 189;2026-01-13T12:46:40.000Z;555;NPR;16;313.8320611;13;2;36.578970;10.494413;80.60;80.18;ensoleillé;0;autoroute;تركي;ville;ولاية نابل;معتمدية قرمبالية
2771 TU 229;2026-01-13T12:03:45.000Z;361;NPR;16;177.3341788;13;2;36.876910;10.182907;65.48;66.67;ensoleillé;0;route_secondaire;الغزالة;ville;ولاية أريانة;معتمدية رواد
6684 TU 223;2026-01-13T12:03:01.000Z;487;NPR;16;187.211838;13;2;36.779990;10.196272;73.55;72.75;ensoleillé;0;route_principale;تونس;ville;ولاية تونس;inconnu
8335 TU 215;2026-01-13T11:41:14.000Z;899;NPR;16;209.2803738;12;2;35.686673;10.066298;50.38;48.35;ensoleillé;0;route_secondaire;الباطن;ville;ولاية القيروان;معتمدية القيروان الشمالية
834 TU 181;2026-01-13T11:36:24.000Z;608;SURG;13;269.25;12;2;33.470773;11.084907;57.93;59.25;ensoleillé;0;route_secondaire;حمادي بو تفاحة;ville;ولاية مدنين;معتمدية جرجيس
3841 TU 166;2026-01-13T11:24:57.000Z;532;SURG;13;103.02;12;2;35.626258;10.900537;65.49;66.30;ensoleillé;0;route_secondaire;مكنين;ville;ولاية المنستير;معتمدية المكنين
2816 TU 173;2026-01-13T11:10:14.000Z;271;NPR;16;206.156962;12;2;36.713480;10.167302;50.38;48.91;ensoleillé;0;route_secondaire;المغيرة;ville;ولاية بن عروس;معتمدية فوشانة
2775 TU 229;2026-01-13T10:15:57.000Z;928;NPR;16;211.24588;11;2;36.178413;8.703282;51.89;53.85;ensoleillé;0;route_principale;الكاف;ville;ولاية الكاف;معتمدية الكاف الشرقية
2150 TU 174;2026-01-13T09:58:58.000Z;414;NPR;16;100.2975207;10;2;36.580018;10.492635;52.90;52.89;ensoleillé;0;autoroute;تركي;ville;ولاية نابل;معتمدية قرمبالية
2222 TU 173;2026-01-13T09:38:08.000Z;297;NPR;16;255.557377;10;2;36.579930;10.492663;43.83;45.57;ensoleillé;0;autoroute;تركي;ville;ولاية نابل;معتمدية قرمبالية
8572 TU 232;2026-01-13T08:36:27.000Z;1492;NPR;16;372.5535248;9;2;34.856332;9.787045;88.16;86.49;ensoleillé;0;route_secondaire;الرقاب;ville;ولاية سيدي بوزيد;معتمدية الرقاب
